sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
049,pokemon,Conkeldurr,修建老匠,049-conkeldurr.png,assets/pokopia_image_sources/pokemon_portraits/049-conkeldurr.png,https://pokopiadex.com/images/pokemon/sprites/conkeldurr.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,145442,a75d23a4c93c22f632cac47e016b9bcf0604841976b353b457c3bcf50f470417,ok,
050,pokemon,Corviknight,钢铠鸦,050-corviknight.png,assets/pokopia_image_sources/pokemon_portraits/050-corviknight.png,https://pokopiadex.com/images/pokemon/sprites/corviknight.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,130233,eb2baa718519b9f42b4066ae1ccd40f64fae869c2ac75d553ddd91a9c348ce5d,ok,
051,pokemon,Corvisquire,蓝鸦,051-corvisquire.png,assets/pokopia_image_sources/pokemon_portraits/051-corvisquire.png,https://pokopiadex.com/images/pokemon/sprites/corvisquire.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,132376,abe82c45ca6a17d0a8aa7136d28a24b86605f5237d02a73766f5b51831f56ccf,ok,
052,pokemon,Cramorant,古月鸟,052-cramorant.png,assets/pokopia_image_sources/pokemon_portraits/052-cramorant.png,https://pokopiadex.com/images/pokemon/sprites/cramorant.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,101145,b204b84b57c797f5f573be010adda6ff60bdc032f57246f4032cdde92c61ea2e,ok,
053,pokemon,Cranidos,头盖龙,053-cranidos.png,assets/pokopia_image_sources/pokemon_portraits/053-cranidos.png,https://pokopiadex.com/images/pokemon/sprites/cranidos.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,128154,085e9e07de2d0d43b1dc7638eaf203839971d2b15eabf606f8912661d1e4ea56,ok,
054,pokemon,Crobat,叉字蝠,054-crobat.png,assets/pokopia_image_sources/pokemon_portraits/054-crobat.png,https://pokopiadex.com/images/pokemon/sprites/crobat.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,87781,f9fae55b5042f9744282b4638053cf34275a3b79ef8b0db4cf04e056d74bd7ae,ok,
055,pokemon,Cubone,卡拉卡拉,055-cubone.png,assets/pokopia_image_sources/pokemon_portraits/055-cubone.png,https://pokopiadex.com/images/pokemon/sprites/cubone.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,125802,f96411fafb80acdba748ca272a9456e7a2847813d5460076c24b65f2c1b4b9d9,ok,
056,pokemon,Cyndaquil,火球鼠,056-cyndaquil.png,assets/pokopia_image_sources/pokemon_portraits/056-cyndaquil.png,https://pokopiadex.com/images/pokemon/sprites/cyndaquil.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,90335,ce59a396e70f5188d0e5db93c71003c7a72a1df5cbb204965b774f7df15c629f,ok,
057,pokemon,DJ Rotom,洛托姆（立体音响洛托姆）,057-dj-rotom.webp,assets/pokopia_image_sources/pokemon_portraits/057-dj-rotom.webp,https://img.rankedboost.com/wp-content/plugins/pokopia/assets/npcs/dj-rotom.png,https://rankedboost.com/pokopia/pokedex/,rankedboost_pokedex,official_pokopia_sc_pokemon,image/webp,116574,d9673243cbc88749e8131b0f605b684ef86ac1af39075b522af8dbadc173ddd1,ok,
058,pokemon,Dachsbun,麻花犬,058-dachsbun.png,assets/pokopia_image_sources/pokemon_portraits/058-dachsbun.png,https://pokopiadex.com/images/pokemon/sprites/dachsbun.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,138480,d76d074ccaf2148748bfbfb6c3b256228443192ee783fa94279a9399de15a3c7,ok,
059,pokemon,Dartrix,投羽枭,059-dartrix.png,assets/pokopia_image_sources/pokemon_portraits/059-dartrix.png,https://pokopiadex.com/images/pokemon/sprites/dartrix.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,143269,d262741cc30c9c4c1a0af4a157e42edb2ece0a30f79f4fec2b454a35995d9612,ok,
060,pokemon,Decidueye,狙射树枭,060-decidueye.png,assets/pokopia_image_sources/pokemon_portraits/060-decidueye.png,https://pokopiadex.com/images/pokemon/sprites/decidueye.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,147478,3d91c8a40d9f732de039c0a87b0eb29e78aa0a549354bde3cb39281fe8712532,ok,
061,pokemon,Dedenne,咚咚鼠,061-dedenne.png,assets/pokopia_image_sources/pokemon_portraits/061-dedenne.png,https://pokopiadex.com/images/pokemon/sprites/dedenne.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,128432,07106d1ff067690fb39c2e686d00c995a79dd33ff0f40898bda9e1d093fd4a36,ok,
062,pokemon,Diglett,地鼠,062-diglett.png,assets/pokopia_image_sources/pokemon_portraits/062-diglett.png,https://pokopiadex.com/images/pokemon/sprites/diglett.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,88593,0b3f8ff02c364a613392668f0571becba57e9e0e6d53d368106a07c5aad777ce,ok,
063,pokemon,Ditto,百变怪,063-ditto.png,assets/pokopia_image_sources/pokemon_portraits/063-ditto.png,https://pokopiadex.com/images/pokemon/sprites/ditto.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,94191,d01441c74f64607e6fd62f916a90be627e9ab4b5eb830ef8f9939ca3230d58ab,ok,
064,pokemon,Dragapult,多龙巴鲁托,064-dragapult.png,assets/pokopia_image_sources/pokemon_portraits/064-dragapult.png,https://pokopiadex.com/images/pokemon/sprites/dragapult.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,149772,3c2fd74d355c40f6d77ab552d15d3fd28e183975e76a36fe3b78723dde21c80d,ok,
065,pokemon,Dragonair,哈克龙,065-dragonair.png,assets/pokopia_image_sources/pokemon_portraits/065-dragonair.png,https://pokopiadex.com/images/pokemon/sprites/dragonair.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,88558,2d7293a0e3e87994ec90295be880e943dc93631af6144e97c8ad021dedffe1d9,ok,
066,pokemon,Dragonite,快龙,066-dragonite.png,assets/pokopia_image_sources/pokemon_portraits/066-dragonite.png,https://pokopiadex.com/images/pokemon/sprites/dragonite.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,137783,1594662fcb0cfbf7a0d2928b8e1fc680a0deff1cb0b2b4db0372a6f4835b6b31,ok,
067,pokemon,Drakloak,多龙奇,067-drakloak.png,assets/pokopia_image_sources/pokemon_portraits/067-drakloak.png,https://pokopiadex.com/images/pokemon/sprites/drakloak.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,124131,70f44b6389f4af5f27a9242dcac623bed9470bd6971cc11e4ca4f7432777bd96,ok,
068,pokemon,Dratini,迷你龙,068-dratini.png,assets/pokopia_image_sources/pokemon_portraits/068-dratini.png,https://pokopiadex.com/images/pokemon/sprites/dratini.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,91091,ea3ce3c89878be58df63f32bb501bbfcc8554fbe8fe2ac1ecee71bd16d175f99,ok,
069,pokemon,Dreepy,多龙梅西亚,069-dreepy.png,assets/pokopia_image_sources/pokemon_portraits/069-dreepy.png,https://pokopiadex.com/images/pokemon/sprites/dreepy.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,73924,8862a350d377b7e3b46ebf2c20f7052d14a87f9d336738ba1a620b69045b4cdb,ok,
070,pokemon,Drifblim,随风球,070-drifblim.png,assets/pokopia_image_sources/pokemon_portraits/070-drifblim.png,https://pokopiadex.com/images/pokemon/sprites/drifblim.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,120257,a3b14f52c52ad9bbbbfd1d02c97c16cb5c222090d5adb11fe70e8195d804286c,ok,
071,pokemon,Drifloon,飘飘球,071-drifloon.png,assets/pokopia_image_sources/pokemon_portraits/071-drifloon.png,https://pokopiadex.com/images/pokemon/sprites/drifloon.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,67612,b12cdaf12b0021d4dba7ae26d623b938fdf1fa5c82156aac72cf902dd97099c8,ok,
072,pokemon,Drilbur,螺钉地鼠,072-drilbur.png,assets/pokopia_image_sources/pokemon_portraits/072-drilbur.png,https://pokopiadex.com/images/pokemon/sprites/drilbur.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,124034,53ab58cfd835418406ec72bb43b1181a635d832dc55c8a647a7af7179ecd1113,ok,
073,pokemon,Dugtrio,三地鼠,073-dugtrio.png,assets/pokopia_image_sources/pokemon_portraits/073-dugtrio.png,https://pokopiadex.com/images/pokemon/sprites/dugtrio.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,145805,4fe2dd7f3f5d580f811c81d0057bcc6408f5cae04d1f9ede02553c1a5a7d9c05,ok,
074,pokemon,Dusclops,彷徨夜灵,074-dusclops.png,assets/pokopia_image_sources/pokemon_portraits/074-dusclops.png,https://pokopiadex.com/images/pokemon/sprites/dusclops.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,117066,32944af995b7cf8209f5085925a6e444ef8bd0861160ceb45ed6ea11a352c9eb,ok,
